r,l,t
10.0,10,0.10179710388183594
11.0,11,0.11242938041687012
10.0,10,0.1195824146270752
10.0,10,0.12676191329956055
10.0,10,0.13391375541687012
10.0,10,0.1411285400390625
10.0,10,0.14866948127746582
10.0,10,0.1557009220123291
10.0,10,0.1626589298248291
10.0,10,0.1694800853729248
10.0,10,0.1766057014465332
10.0,10,0.18355894088745117
10.0,10,0.190565824508667
10.0,10,0.19795918464660645
10.0,10,0.20470499992370605
10.0,10,0.21202778816223145
10.0,10,0.21893024444580078
10.0,10,0.22639894485473633
9.0,9,0.23398137092590332
10.0,10,0.24145793914794922
10.0,10,0.24865269660949707
10.0,10,0.2557506561279297
10.0,10,0.26284146308898926
11.0,11,0.27097153663635254
10.0,10,0.2781953811645508
10.0,10,0.28572559356689453
10.0,10,0.2937657833099365
10.0,10,0.3008921146392822
10.0,10,0.308607816696167
9.0,9,0.3152623176574707
10.0,10,0.3226318359375
10.0,10,0.330580472946167
11.0,11,0.33866405487060547
10.0,10,0.34563398361206055
10.0,10,0.35297489166259766
10.0,10,0.36008548736572266
10.0,10,0.3675568103790283
10.0,10,0.37474942207336426
10.0,10,0.3817899227142334
10.0,10,0.388791561126709
10.0,10,0.3958139419555664
10.0,10,0.40299081802368164
10.0,10,0.41043710708618164
11.0,11,0.41805362701416016
10.0,10,0.4250192642211914
10.0,10,0.43206071853637695
10.0,10,0.4390525817871094
10.0,10,0.4463527202606201
10.0,10,0.4533510208129883
10.0,10,0.4619288444519043
12.0,12,0.4733731746673584
13.0,13,0.4822254180908203
15.0,15,0.4923560619354248
8.0,8,0.4985642433166504
14.0,14,0.5075619220733643
11.0,11,0.5150818824768066
12.0,12,0.5233957767486572
15.0,15,0.532951831817627
10.0,10,0.5402681827545166
9.0,9,0.5468125343322754
18.0,18,0.5577514171600342
10.0,10,0.5655083656311035
12.0,12,0.573613166809082
10.0,10,0.5806825160980225
10.0,10,0.5879786014556885
10.0,10,0.5950114727020264
8.0,8,0.6014940738677979
15.0,15,0.6127569675445557
16.0,16,0.62261962890625
11.0,11,0.6302638053894043
10.0,10,0.6372706890106201
9.0,9,0.6440141201019287
10.0,10,0.6516976356506348
10.0,10,0.658768892288208
9.0,9,0.6657624244689941
11.0,11,0.6732680797576904
11.0,11,0.6807711124420166
12.0,12,0.6888923645019531
10.0,10,0.6961004734039307
9.0,9,0.702761173248291
9.0,9,0.7092616558074951
17.0,17,0.7201120853424072
11.0,11,0.7280097007751465
11.0,11,0.7360782623291016
10.0,10,0.7447535991668701
9.0,9,0.7526164054870605
12.0,12,0.7610642910003662
9.0,9,0.767927885055542
12.0,12,0.7759335041046143
10.0,10,0.7829940319061279
12.0,12,0.7923679351806641
16.0,16,0.8022925853729248
9.0,9,0.8094158172607422
12.0,12,0.8176267147064209
10.0,10,0.825014591217041
3.0,3,0.8302350044250488
3.0,3,0.8343353271484375
3.0,3,0.8380932807922363
3.0,3,0.841869592666626
3.0,3,0.8460736274719238
3.0,3,0.8501124382019043
3.0,3,0.8561651706695557
3.0,3,0.8599355220794678
3.0,3,0.8636918067932129
3.0,3,0.867429256439209
3.0,3,0.8711652755737305
3.0,3,0.875178337097168
3.0,3,0.8790750503540039
3.0,3,0.8832492828369141
3.0,3,0.8871781826019287
3.0,3,0.8907313346862793
3.0,3,0.894371509552002
3.0,3,0.8981060981750488
3.0,3,0.9018595218658447
3.0,3,0.9055235385894775
3.0,3,0.909111738204956
3.0,3,0.9128191471099854
3.0,3,0.9165163040161133
3.0,3,0.920252799987793
3.0,3,0.9238295555114746
3.0,3,0.9275503158569336
3.0,3,0.9314801692962646
3.0,3,0.9351425170898438
3.0,3,0.9411900043487549
3.0,3,0.9451076984405518
3.0,3,0.9488084316253662
3.0,3,0.9524686336517334
3.0,3,0.9561138153076172
3.0,3,0.9597384929656982
3.0,3,0.9633634090423584
3.0,3,0.9671235084533691
3.0,3,0.9710149765014648
3.0,3,0.9748883247375488
3.0,3,0.9786303043365479
3.0,3,0.9823415279388428
3.0,3,0.9860951900482178
3.0,3,0.9897584915161133
3.0,3,0.9937021732330322
3.0,3,0.9973495006561279
3.0,3,1.0010716915130615
3.0,3,1.004889726638794
3.0,3,1.0091028213500977
3.0,3,1.0132837295532227
3.0,3,1.0173254013061523
3.0,3,1.021470546722412
3.0,3,1.0292253494262695
3.0,3,1.0400946140289307
3.0,3,1.0517582893371582
3.0,3,1.0592544078826904
3.0,3,1.0637612342834473
3.0,3,1.0678791999816895
3.0,3,1.07169771194458
3.0,3,1.0753695964813232
3.0,3,1.079204797744751
3.0,3,1.0829336643218994
3.0,3,1.0865931510925293
3.0,3,1.0902235507965088
3.0,3,1.0940120220184326
3.0,3,1.0976722240447998
3.0,3,1.1013922691345215
3.0,3,1.1051154136657715
3.0,3,1.1088566780090332
3.0,3,1.112621545791626
3.0,3,1.1163549423217773
3.0,3,1.120222568511963
3.0,3,1.123995065689087
3.0,3,1.127678394317627
3.0,3,1.131342887878418
3.0,3,1.135070562362671
3.0,3,1.1387481689453125
3.0,3,1.142404317855835
3.0,3,1.146092414855957
3.0,3,1.1498417854309082
3.0,3,1.153503179550171
3.0,3,1.1571569442749023
3.0,3,1.1608107089996338
3.0,3,1.1645712852478027
3.0,3,1.1683578491210938
3.0,3,1.17209792137146
3.0,3,1.1758358478546143
3.0,3,1.1796026229858398
3.0,3,1.1833057403564453
3.0,3,1.186934232711792
3.0,3,1.1905944347381592
3.0,3,1.194389820098877
3.0,3,1.198185920715332
3.0,3,1.2018797397613525
3.0,3,1.205561876296997
3.0,3,1.2093064785003662
3.0,3,1.2130467891693115
3.0,3,1.2166876792907715
3.0,3,1.220426321029663
3.0,3,1.2240617275238037
3.0,3,1.228283405303955
3.0,3,1.2321534156799316
3.0,3,1.2357239723205566
3.0,3,1.239368200302124
3.0,3,1.243241310119629
3.0,3,1.2469539642333984
3.0,3,1.2506885528564453
3.0,3,1.2543995380401611
3.0,3,1.2581844329833984
3.0,3,1.261908769607544
3.0,3,1.2656583786010742
3.0,3,1.2693719863891602
3.0,3,1.2732188701629639
3.0,3,1.276918888092041
3.0,3,1.2810797691345215
3.0,3,1.2847280502319336
3.0,3,1.2884552478790283
3.0,3,1.2922296524047852
3.0,3,1.2958974838256836
3.0,3,1.299532413482666
3.0,3,1.3033723831176758
3.0,3,1.3070704936981201
3.0,3,1.3107457160949707
3.0,3,1.3144183158874512
3.0,3,1.318173885345459
3.0,3,1.3218648433685303
3.0,3,1.3255820274353027
3.0,3,1.329361915588379
3.0,3,1.4260814189910889
3.0,3,1.4300780296325684
3.0,3,1.4338045120239258
3.0,3,1.4375660419464111
3.0,3,1.4412212371826172
3.0,3,1.4450883865356445
3.0,3,1.4487981796264648
3.0,3,1.4524455070495605
3.0,3,1.456061840057373
3.0,3,1.4597768783569336
3.0,3,1.463440179824829
3.0,3,1.4671695232391357
3.0,3,1.4710006713867188
3.0,3,1.474877119064331
3.0,3,1.4785301685333252
3.0,3,1.4822113513946533
3.0,3,1.4859766960144043
3.0,3,1.4897150993347168
3.0,3,1.4935286045074463
3.0,3,1.497180700302124
3.0,3,1.5008437633514404
3.0,3,1.504446268081665
3.0,3,1.5082120895385742
3.0,3,1.5119707584381104
3.0,3,1.515625238418579
3.0,3,1.5193443298339844
3.0,3,1.5232419967651367
3.0,3,1.5269312858581543
3.0,3,1.5305843353271484
3.0,3,1.5343677997589111
3.0,3,1.53814697265625
3.0,3,1.541886568069458
3.0,3,1.5456187725067139
3.0,3,1.5493054389953613
3.0,3,1.553147792816162
3.0,3,1.5569531917572021
3.0,3,1.5607404708862305
3.0,3,1.5644350051879883
3.0,3,1.5680341720581055
3.0,3,1.571894884109497
3.0,3,1.5756542682647705
3.0,3,1.5810580253601074
3.0,3,1.5847764015197754
3.0,3,1.5884714126586914
3.0,3,1.5922083854675293
3.0,3,1.5958523750305176
3.0,3,1.599564552307129
3.0,3,1.6033596992492676
3.0,3,1.6070468425750732
3.0,3,1.6107666492462158
3.0,3,1.6144533157348633
3.0,3,1.6181602478027344
3.0,3,1.621915340423584
3.0,3,1.625551700592041
3.0,3,1.6292142868041992
3.0,3,1.6330795288085938
3.0,3,1.6367816925048828
3.0,3,1.640455722808838
3.0,3,1.6441190242767334
3.0,3,1.6479966640472412
3.0,3,1.651693344116211
3.0,3,1.6553349494934082
3.0,3,1.6589789390563965
3.0,3,1.6626560688018799
3.0,3,1.6663587093353271
3.0,3,1.6700010299682617
3.0,3,1.6737010478973389
3.0,3,1.6773390769958496
3.0,3,1.6812539100646973
3.0,3,1.6850745677947998
3.0,3,1.6887526512145996
3.0,3,1.692453384399414
3.0,3,1.6962478160858154
3.0,3,1.699925184249878
3.0,3,1.7035472393035889
3.0,3,1.7072556018829346
3.0,3,1.7110517024993896
3.0,3,1.7147612571716309
3.0,3,1.718423843383789
3.0,3,1.7220749855041504
3.0,3,1.7259092330932617
3.0,3,1.7296295166015625
3.0,3,1.7333109378814697
3.0,3,1.7372021675109863
3.0,3,1.740809679031372
3.0,3,1.744797706604004
3.0,3,1.7484986782073975
3.0,3,1.7522146701812744
3.0,3,1.7557859420776367
3.0,3,1.7597026824951172
3.0,3,1.7633774280548096
3.0,3,1.7670416831970215
3.0,3,1.7706940174102783
3.0,3,1.7744700908660889
3.0,3,1.7781445980072021
3.0,3,1.7819252014160156
3.0,3,1.7856380939483643
3.0,3,1.789506435394287
3.0,3,1.7932119369506836
3.0,3,1.7968902587890625
3.0,3,1.8005411624908447
3.0,3,1.8046119213104248
3.0,3,1.808382511138916
3.0,3,1.812060832977295
3.0,3,1.815701961517334
3.0,3,1.819584846496582
3.0,3,1.8233702182769775
3.0,3,1.8271911144256592
3.0,3,1.8309135437011719
3.0,3,1.8346853256225586
3.0,3,1.8383674621582031
3.0,3,1.842184066772461
3.0,3,1.845848560333252
3.0,3,1.8495140075683594
3.0,3,1.8533692359924316
3.0,3,1.8571364879608154
3.0,3,1.8608996868133545
3.0,3,1.8645715713500977
3.0,3,1.868504285812378
3.0,3,1.8722527027130127
3.0,3,1.8758974075317383
3.0,3,1.879518985748291
3.0,3,1.8831470012664795
3.0,3,1.886805534362793
3.0,3,1.8904645442962646
3.0,3,1.8942375183105469
3.0,3,1.8982536792755127
3.0,3,1.9019217491149902
3.0,3,1.905531406402588
3.0,3,1.9091928005218506
3.0,3,1.9128284454345703
3.0,3,1.9164917469024658
3.0,3,1.9203028678894043
3.0,3,1.9239516258239746
3.0,3,1.927579402923584
3.0,3,1.931321144104004
3.0,3,1.934936761856079
3.0,3,1.9386413097381592
3.0,3,1.9423549175262451
3.0,3,1.946312427520752
3.0,3,1.949960470199585
3.0,3,1.9536433219909668
3.0,3,1.9572529792785645
3.0,3,1.9609332084655762
