r,l,t
-55.117584281050526,50,0.13525176048278809
-55.41108874503943,50,0.17534637451171875
-57.724671954842535,50,0.21274757385253906
-59.13966169781332,50,0.25131964683532715
-55.82970937835981,50,0.28989410400390625
-54.13430466126672,50,0.32979631423950195
-55.922246245290815,50,0.3674736022949219
-55.940940827326536,50,0.406322717666626
-57.21565958736306,50,0.4453456401824951
-56.11148757889873,50,0.48310327529907227
-14.740402593758846,50,0.522181510925293
-9.700306505002086,50,0.5601401329040527
-15.487151211545191,50,0.5983316898345947
-14.368022341278714,50,0.6358745098114014
-12.110539199255179,50,0.6740930080413818
-10.632675648880445,50,0.7128589153289795
-10.092915270154675,50,0.7503769397735596
-12.437380065172745,50,0.7878475189208984
-12.904926222766223,50,0.8269569873809814
-19.508466223611453,50,0.8658854961395264
-57.28888059680929,50,0.9070303440093994
-61.90070456364503,50,0.9455065727233887
-59.19065887712833,50,0.9839057922363281
-56.76660482929983,50,1.024355173110962
-59.42542845929806,50,1.0771124362945557
-60.8871867384282,50,1.1179165840148926
-57.37357716193759,50,1.160308599472046
-57.23595942768493,50,1.2026772499084473
-57.995322433570976,50,1.2457184791564941
-59.51980351778298,50,1.2885715961456299
-43.72037680348774,50,1.332843542098999
-43.78784347405983,50,1.3717293739318848
-44.01725147590741,50,1.4166285991668701
-45.561541223634464,50,1.4599435329437256
-43.85074335400587,50,1.502692699432373
-45.06939632284338,50,1.5465233325958252
-45.40711714361454,50,1.5889456272125244
-42.5037689174267,50,1.6285247802734375
-47.52035278861064,50,1.668149471282959
-43.26772941525429,50,1.7096776962280273
-10.975479392106566,50,1.750281572341919
-12.688384989351647,50,1.788750171661377
-11.643581713438067,50,1.826523780822754
-14.339163030569662,50,1.8646936416625977
-12.067022613962282,50,1.9033570289611816
-12.935465314356087,50,1.9423556327819824
-12.504720785760718,50,1.9808738231658936
-11.38639043881633,50,2.024827241897583
-13.358697567824752,50,2.0662550926208496
-12.468041207402363,50,2.1131772994995117
-11.596871396824747,50,2.158639430999756
-8.057769403878453,50,2.2004215717315674
-8.761947254761457,50,2.242281198501587
-11.176451254607395,50,2.2845442295074463
-13.58906776329933,50,2.324007511138916
-7.508849239324817,50,2.363492965698242
-9.412704966931303,50,2.4082448482513428
-11.165070772803032,50,2.468008041381836
-9.349099545542318,50,2.516502618789673
-13.456745525587278,50,2.5607035160064697
-7.796932608283152,50,2.602921724319458
-10.322172268866465,50,2.6445086002349854
-9.940790648249838,50,2.684781789779663
-6.805651089269725,50,2.7235958576202393
-7.550291870623828,50,2.76650333404541
-20.825955286558116,50,2.8118948936462402
-15.694484223650115,50,2.8511598110198975
-6.956340213775761,50,2.89011287689209
-9.161856052602907,50,2.9281628131866455
-15.5679565997051,50,2.9666402339935303
-44.363080855768054,50,3.006528854370117
-40.399545622914864,50,3.0454936027526855
-44.25763990519418,50,3.0846619606018066
-44.755890595764924,50,3.1239964962005615
-42.76224228119922,50,3.162684679031372
-41.32498313236491,50,3.2015507221221924
-43.654679416242566,50,3.245455503463745
-41.55195253076562,50,3.285672426223755
-42.30700168859033,50,3.328130006790161
-40.30829005027026,50,3.3693954944610596
-11.347470822507034,50,3.410283088684082
-11.83142118429497,50,3.451105833053589
-15.164325630379958,50,3.490935802459717
-11.988402815366838,50,3.5962514877319336
-11.943045550127517,50,3.6368284225463867
-12.403644221592476,50,3.6768226623535156
-13.636019506204422,50,3.7155845165252686
-13.518125079537961,50,3.753852128982544
-12.158966603705359,50,3.7924299240112305
-11.687003034691072,50,3.830632209777832
-13.88938716865603,50,4.444331407546997
-15.757530651523371,50,4.4854536056518555
-12.336525384647514,50,4.528660774230957
-14.350428095915019,50,4.569384574890137
-13.930380955751943,50,4.607337236404419
-12.90492039969866,50,4.652857065200806
-11.768091514454483,50,4.69223427772522
-12.275135930803458,50,4.733699560165405
-13.848730209083076,50,4.774155378341675
-12.65740406420473,50,4.815723657608032
-10.178462716649785,50,4.8592376708984375
-9.888135046908033,50,4.9029316902160645
-15.790517153897566,50,4.940802574157715
-9.973328764650116,50,4.979397773742676
-15.93442268749655,50,5.017795085906982
-9.317555341899645,50,5.06603741645813
-17.50910996901827,50,5.118634462356567
-13.315651967583431,50,5.164296388626099
-11.924230273497146,50,5.20335841178894
-9.161979690854205,50,5.241519451141357
-12.761503875373545,50,5.285332441329956
-12.70266856952224,50,5.3238396644592285
-14.214152000745244,50,5.361848592758179
-14.16116385853315,50,5.40010929107666
-13.050812808112571,50,5.4385621547698975
-16.12339635617273,50,5.477772235870361
-13.11600738117453,50,5.516435146331787
-11.961082274034451,50,5.55557918548584
-13.813801231056463,50,5.598090171813965
-12.527774948288709,50,5.643449306488037
-11.20736496726708,50,5.685941934585571
-12.619970790306281,50,5.73829197883606
-14.210313597880093,50,5.776730298995972
-12.776780033343904,50,5.815770864486694
-12.771150106434664,50,5.8547043800354
-15.627783152337946,50,5.893774509429932
